"Problem","Planner","Successes","Min Plan Length","Max Plan Length","Avg. Plan Length","Plan Length Std.","Min Nodes Visited","Max Nodes Visited","Avg. Nodes Visited","Nodes Visited Std.","Min Nodes Generated","Max Nodes Generated","Avg. Nodes Generated","Nodes Generated Std.","Min Time (ms)","Max Time (ms)","Avg. Time (ms)","Time Std. (ms)"
"deerhunter_any","EFS rp",10,6,6,6.0,0.0,103,157,131.4,21.275337835155522,748,1037,883.1,101.04004156768741,73,132,96.1,19.987245933344596
"deerhunter_any","GFS h+",10,6,6,6.0,0.0,89805,89805,89805.0,0.0,182806,182806,182806.0,0.0,22085,34023,29050.2,5657.2688605015055
"deerhunter_any","GFS hmax",10,6,6,6.0,0.0,1791,1792,1791.5,0.5,10667,10680,10673.5,6.5,947,1004,970.4,17.9008379692125
"deerhunter_any","GFS rp",10,6,6,6.0,0.0,9454,28762,17177.2,9458.94959073152,17221,67134,37186.2,24452.276306307354,1992,7564,4204.8,2692.256778243858
"deerhunter_both","BFS",0,,,,,1000000,1000000,1000000.0,0.0,8051711,8051712,8051711.5,0.5,1999382,3313357,2785631.8,641537.9249578001
"deerhunter_both","EFS",10,10,10,10.0,0.0,529909,532232,531070.5,1161.5,2651578,2660915,2656246.5,4668.5,1432410,2356490,1982483.0,443710.9830538343
"deerhunter_both","GFS",0,,,,,1000000,1000000,1000000.0,0.0,7073285,7073285,7073285.0,0.0,227127,235517,230225.9,2395.4879440314453
"deerhunter_both","A* h+",0,,,,,1000000,1000000,1000000.0,0.0,10497401,10497401,1.0497401E7,0.0,3509213,5789752,4863427.1,1091850.924253073
"deerhunter_both","A* hmax",0,,,,,1000000,1000000,1000000.0,0.0,10721164,10721164,1.0721164E7,0.0,2297246,3845962,2618591.1,611091.2854376914
"deerhunter_both","A* rp",10,10,10,10.0,0.0,632618,869243,774554.9,115427.00023257124,6663528,9215357,8195248.8,1247536.3776563632,1660237,6019220,3720423.4,1359098.0582073685
"deerhunter_both","EFS h+",10,10,10,10.0,0.0,94259,94330,94294.5,35.5,534737,534737,534737.0,0.0,127437,178220,148723.8,16247.158882709307
"deerhunter_both","EFS hmax",10,10,10,10.0,0.0,79043,79127,79085.0,42.0,661965,662009,661987.0,22.0,166820,171512,169405.2,1693.5068821826499
"deerhunter_both","EFS rp",10,10,10,10.0,0.0,41440,87243,68380.7,21692.17787613775,212971,542407,407601.5,158099.11697239173,25917,147150,93668.7,53229.801397431496
"deerhunter_both","GFS h+",0,,,,,1000000,1000000,1000000.0,0.0,2298471,2298471,2298471.0,0.0,258926,412592,322109.6,71532.01023206324
"deerhunter_both","GFS hmax",0,,,,,1000000,1000000,1000000.0,0.0,6311125,6311125,6311125.0,0.0,643592,982009,805886.0,148685.88041236464
"deerhunter_both","GFS rp",0,,,,,1000000,1000000,1000000.0,0.0,2421641,2574920,2482967.2,75079.14808760153,295975,429654,358985.3,49753.022692194296
"secretagent","BFS",10,8,8,8.0,0.0,659,665,662.6,2.939387691339814,711,745,731.4,16.65653025092561,11,23,15.9,4.4147480109288235
"secretagent","EFS",10,8,8,8.0,0.0,175,186,181.6,5.388877434122992,241,252,247.6,5.388877434122992,16,31,24.3,5.622277118748239
"secretagent","GFS",10,8,8,8.0,0.0,308,318,314.0,4.898979485566356,775,789,783.4,6.858571279792898,10,21,14.9,4.27668095606862
"secretagent","A* h+",10,8,8,8.0,0.0,372,376,374.4,1.9595917942265424,815,828,822.8,6.368673331236264,28,43,37.5,5.886425061104575
"secretagent","A* hmax",10,8,8,8.0,0.0,344,344,344.0,0.0,757,757,757.0,0.0,23,36,29.2,4.237924020083418
"secretagent","A* rp",10,8,8,8.0,0.0,404,420,418.4,4.799999999999999,721,785,778.6,19.2,41,45,44.4,1.2
"secretagent","EFS h+",10,8,8,8.0,0.0,30,35,33.0,2.449489742783178,115,128,122.8,6.368673331236263,10,27,21.3,5.020956084253277
"secretagent","EFS hmax",10,8,8,8.0,0.0,34,34,34.0,0.0,107,107,107.0,0.0,10,20,15.4,3.9799497484264794
"secretagent","EFS rp",10,8,8,8.0,0.0,34,39,34.5,1.5,115,128,116.3,3.9000000000000004,10,21,15.5,4.129164564412516
"secretagent","GFS h+",10,8,8,8.0,0.0,221,225,223.4,1.9595917942265424,492,504,499.2,5.8787753826796285,19,30,24.8,3.8935844667863573
"secretagent","GFS hmax",10,8,8,8.0,0.0,219,219,219.0,0.0,504,504,504.0,0.0,24,33,26.9,2.5475478405713994
"secretagent","GFS rp",10,8,8,8.0,0.0,185,218,214.7,9.9,423,491,484.2,20.4,16,34,28.4,5.425863986500215
"aladdin_any","BFS",0,,,,,1000000,1000000,1000000.0,0.0,34993640,35004125,3.50005034E7,3052.519916396943,4559710,7202262,6129325.4,1277993.1317360199
"aladdin_any","EFS",0,,,,,1000000,1000000,1000000.0,0.0,21042645,21122608,2.10909645E7,23689.902803726316,3071996,4765960,4077175.7,796329.2578319662
"aladdin_any","GFS",0,,,,,1000000,1000000,1000000.0,0.0,12226292,12499057,1.2255296E7,81262.6330991065,1076551,1096676,1080775.9,5636.180665131309
"aladdin_any","A* h+",0,,,,,1000000,1000000,1000000.0,0.0,25836505,25867025,2.58554092E7,11217.163579087184,7556429,12292348,1.02399375E7,2060251.8459173504
"aladdin_any","A* hmax",0,,,,,1000000,1000000,1000000.0,0.0,25624176,25651863,2.56408545E7,9425.777169549468,7595774,12271617,1.03312931E7,2021251.4320199972
"aladdin_any","A* rp",0,,,,,1000000,1000000,1000000.0,0.0,26797251,26850400,2.68315544E7,19150.758931175547,8070902,12605477,9092886.7,1666042.1810013126
"aladdin_any","EFS h+",0,,,,,1000000,1000000,1000000.0,0.0,4084474,4106921,4096110.2,6717.7546367815485,1912648,1976567,1945967.3,19779.09759341917
"aladdin_any","EFS hmax",0,,,,,1000000,1000000,1000000.0,0.0,15680613,16723847,1.63551144E7,396543.8401322608,5609888,9358203,7389761.1,1589176.6566182282
"aladdin_any","EFS rp",0,,,,,1000000,1000000,1000000.0,0.0,3678122,4178345,3927378.6,153210.94300617042,1253061,1916340,1576768.0,287856.06767931784
"aladdin_any","GFS h+",0,,,,,1000000,1000000,1000000.0,0.0,1521643,9084353,6533879.7,3279373.2451069686,433528,4100739,2585626.8,1407231.7148707104
"aladdin_any","GFS hmax",0,,,,,1000000,1000000,1000000.0,0.0,8508572,9230733,8830681.3,319428.4640620025,2440686,3998868,3290341.5,607694.8087996556
"aladdin_any","GFS rp",0,,,,,1000000,1000000,1000000.0,0.0,1494545,9243617,6342301.9,3265573.2603442064,451959,4406486,2512896.4,1548376.6701001537
"aladdin_both","BFS",0,,,,,1000000,1000000,1000000.0,0.0,34993640,35004125,3.50005034E7,3052.519916396943,4594266,7207291,6135481.3,1249182.846762959
"aladdin_both","EFS",0,,,,,1000000,1000000,1000000.0,0.0,21042645,21122608,2.10909645E7,23689.902803726316,3029947,4639141,3372691.9,633366.6542519348
"aladdin_both","GFS",0,,,,,1000000,1000000,1000000.0,0.0,12226292,12499057,1.2255296E7,81262.6330991065,1090670,1756804,1462277.0,298618.2462901421
"aladdin_both","A* h+",0,,,,,1000000,1000000,1000000.0,0.0,25836505,25867025,2.58554092E7,11217.163579087184,7781045,12443596,1.04902547E7,2135457.809398493
"aladdin_both","A* hmax",0,,,,,1000000,1000000,1000000.0,0.0,25624176,25651863,2.56408545E7,9425.777169549468,7725404,11945357,1.01854087E7,1919991.1004390125
"aladdin_both","A* rp",0,,,,,1000000,1000000,1000000.0,0.0,26797251,26850400,2.68315544E7,19150.758931175547,8152493,12273117,9181643.9,1528495.0171234743
"aladdin_both","EFS h+",0,,,,,1000000,1000000,1000000.0,0.0,4084474,4106921,4096110.2,6717.7546367815485,1887679,2041115,1959623.0,49618.94015595254
"aladdin_both","EFS hmax",0,,,,,1000000,1000000,1000000.0,0.0,15680613,16723847,1.63551144E7,396543.8401322608,5522439,9254830,7630060.7,1513870.8473956455
"aladdin_both","EFS rp",0,,,,,1000000,1000000,1000000.0,0.0,3678122,4178345,3927378.6,153210.94300617042,1229330,1974297,1530326.8,309363.9998864768
"aladdin_both","GFS h+",0,,,,,1000000,1000000,1000000.0,0.0,1521643,9084353,6533879.7,3279373.2451069686,443760,4180146,2585129.9,1508137.0335845114
"aladdin_both","GFS hmax",0,,,,,1000000,1000000,1000000.0,0.0,8508572,9230733,8830681.3,319428.4640620025,2467459,4100152,3144078.2,587391.5961766563
"aladdin_both","GFS rp",0,,,,,1000000,1000000,1000000.0,0.0,1494545,9243617,6342301.9,3265573.2603442064,521619,4296000,2396903.4,1279935.1898311258
"hospital_any","BFS",10,4,4,4.0,0.0,31106,31639,31299.9,199.9357146684904,755032,761128,757195.7,2013.2547305296466,19678,31300,25050.8,5204.810309703899
"hospital_any","EFS",0,,,,,1000000,1000000,1000000.0,0.0,3762148,3911352,3841207.4,48482.304962119946,112721,175857,143790.4,28573.511153514195
"hospital_any","GFS",10,4,4,4.0,0.0,37750,225924,131973.7,89071.755682764,841226,1298658,1072757.4,159566.27262062617,26549,62670,41929.1,11307.808757226132
"hospital_any","A* h+",10,4,4,4.0,0.0,317,317,317.0,0.0,9243,9243,9243.0,0.0,2385,2647,2529.0,90.00222219478806
"hospital_any","A* hmax",10,4,4,4.0,0.0,347,347,347.0,0.0,10047,10047,10047.0,0.0,2226,3042,2590.0,350.564687326034
"hospital_any","A* rp",10,4,4,4.0,0.0,117,47539,5415.9,14073.90211313124,3307,495761,66588.4,145275.81222295744,939,139514,18757.6,40904.487040421365
"hospital_any","EFS h+",0,,,,,1000000,1000000,1000000.0,0.0,3745572,3748750,3747567.4,955.6155293840719,563541,923689,758711.3,142782.086277691
"hospital_any","EFS hmax",10,4,4,4.0,0.0,133295,133954,133657.4,249.89805921615317,2324780,2333542,2328864.7,3165.8400796629003,380814,623360,506718.8,101255.39108689473
"hospital_any","EFS rp",8,4,5,4.25,0.4330127018922193,594481,1000000,890847.7,127821.34090287898,2493247,4081137,3416549.3,462863.9490595589,412730,1047938,745285.8,194188.3262211197
"hospital_any","GFS h+",10,4,4,4.0,0.0,39,96895,48467.0,48428.0,875,131691,66271.0,65396.00085632148,194,28527,13355.0,13215.572496112305
"hospital_any","GFS hmax",10,4,4,4.0,0.0,54,810,432.0,378.0,1196,12645,6920.5,5724.5,257,2756,1479.0,1211.1804159579199
"hospital_any","GFS rp",10,4,5,4.3,0.45825756949558405,23,95991,15854.6,28126.46665402535,545,131402,25672.2,38436.1660465765,132,27547,5581.8,8121.666883097336
"hospital_both","BFS",0,,,,,1000000,1000000,1000000.0,0.0,21538112,21824391,2.16843821E7,126720.58105015934,1125450,1962770,1557620.1,273254.5614318085
"hospital_both","EFS",0,,,,,1000000,1000000,1000000.0,0.0,3762148,3911352,3841207.4,48482.304962119946,111744,118633,114853.6,2801.593268124408
"hospital_both","GFS",0,,,,,1000000,1000000,1000000.0,0.0,3998895,4390146,4276557.4,145085.62808920807,133742,227676,151832.2,25821.8934541989
"hospital_both","A* h+",0,,,,,1000000,1000000,1000000.0,0.0,22385904,22392993,2.23889361E7,2723.4552851111766,4393485,6869534,5808951.2,1084388.2512577127
"hospital_both","A* hmax",0,,,,,1000000,1000000,1000000.0,0.0,21951901,21995953,2.19816278E7,13739.312776118026,4102749,6500268,5481567.6,1089057.2604567863
"hospital_both","A* rp",0,,,,,1000000,1000000,1000000.0,0.0,16065732,25633701,2.32505835E7,3432568.729733412,3475528,7927710,6226662.0,1447359.5599810712
"hospital_both","EFS h+",0,,,,,1000000,1000000,1000000.0,0.0,3745572,3748750,3747567.4,955.6155293840719,569722,874651,649130.7,106030.0138602745
"hospital_both","EFS hmax",0,,,,,1000000,1000000,1000000.0,0.0,17602400,17621813,1.76090794E7,6545.142476676883,3053504,4661434,3516665.1,625583.5614194878
"hospital_both","EFS rp",0,,,,,1000000,1000000,1000000.0,0.0,3611603,4081137,3787659.6,184481.52984469748,669565,1111935,893177.0,164271.9556862948
"hospital_both","GFS h+",0,,,,,1000000,1000000,1000000.0,0.0,1392266,1392559,1392379.4,85.13424692801365,225107,365294,269401.7,44344.72130490844
"hospital_both","GFS hmax",0,,,,,1000000,1000000,1000000.0,0.0,12249220,12254423,1.22518799E7,1931.25272556442,2369847,3212865,2834821.8,354280.18133443483
"hospital_both","GFS rp",0,,,,,1000000,1000000,1000000.0,0.0,1379971,1589128,1456074.8,83801.74952684461,253141,389100,287481.4,39734.292212646746
"basketball_any","BFS",10,4,4,4.0,0.0,868,2203,1349.0,557.5562751866398,23999,66018,39574.0,17385.002950819424,634,1988,1154.3,548.2869777771491
"basketball_any","EFS",3,3,3,3.0,0.0,683324,1000000,912638.7,134670.9386868971,2686742,4384697,3714988.9,645143.3912051568,111397,326289,188561.0,55520.05777734746
"basketball_any","GFS",10,3,3,3.0,0.0,48607,283753,99938.9,91882.10419385268,141508,508239,217636.1,145174.1649298869,4331,33981,10585.0,9218.110554772056
"basketball_any","A* h+",10,3,3,3.0,0.0,176337,184638,180490.5,3195.9203447520404,581506,669251,609191.6,30673.01100381246,98274,205211,142709.9,34078.32748375424
"basketball_any","A* hmax",10,4,4,4.0,0.0,726,1191,921.9,178.49506995992914,18321,32055,24184.7,5247.359698934312,3627,9601,5665.9,2126.658197736533
"basketball_any","A* rp",10,3,4,3.6,0.48989794855663565,16412,248401,59299.7,71206.18201258933,365046,3037148,922013.4,753405.4151174121,68791,656371,216384.9,158953.15890755365
"basketball_any","EFS h+",10,3,3,3.0,0.0,28676,335122,91834.8,121420.46632326857,137775,1216360,363760.1,425345.9132535424,25722,405479,95660.4,123827.87539500142
"basketball_any","EFS hmax",10,3,3,3.0,0.0,3166,34377,11531.3,11568.70717107145,42101,344897,137157.5,110323.4508400186,12290,98520,38414.0,27643.66254315806
"basketball_any","EFS rp",8,3,4,3.125,0.33071891388307384,41358,1000000,516314.5,367709.22985621396,218280,4623766,2231897.4,1646897.164494505,63563,1134635,545209.4,422127.1558855696
"basketball_any","GFS h+",8,3,3,3.0,0.0,12005,1000000,210598.9,394710.5911161873,45713,1682363,375924.8,653200.0313240653,8399,617355,111319.6,205099.31538462045
"basketball_any","GFS hmax",10,3,3,3.0,0.0,1938,72027,11218.3,20702.55512756819,25049,786278,128638.6,224718.4976646115,7538,220650,39082.8,63457.184040579676
"basketball_any","GFS rp",10,3,4,3.1,0.3,3854,292676,79573.1,107039.5922137692,8454,500569,148050.8,165971.78213105985,1776,128485,39257.8,44607.48380440215
"basketball_both","BFS",0,,,,,1000000,1000000,1000000.0,0.0,23179633,23416075,2.33146839E7,83501.67281012998,3090132,5065619,4219276.0,857168.0861897507
"basketball_both","EFS",0,,,,,1000000,1000000,1000000.0,0.0,3755920,4384697,4013806.9,251959.50090379606,157992,225406,183373.3,24651.55770352048
"basketball_both","GFS",0,,,,,1000000,1000000,1000000.0,0.0,1656818,1794608,1732591.0,42727.60410554282,74768,97935,87164.8,8200.761998741336
"basketball_both","A* h+",0,,,,,1000000,1000000,1000000.0,0.0,11190340,11626757,1.14381132E7,135425.47748470373,2954222,4629851,3905218.3,751734.4409163452
"basketball_both","A* hmax",10,7,7,7.0,0.0,45007,49452,46227.1,1661.527276333434,943770,1071083,979211.3,46824.362060897314,212747,250399,223144.3,10608.094513624961
"basketball_both","A* rp",10,7,7,7.0,0.0,251271,620303,487290.6,125299.5688078774,3495416,9203521,6985563.1,1918780.5377057819,750494,2706704,1585131.7,548113.0294733105
"basketball_both","EFS h+",0,,,,,1000000,1000000,1000000.0,0.0,3409075,3685432,3520831.7,96918.36482736387,745894,1305478,1109481.3,201667.72554578484
"basketball_both","EFS hmax",0,,,,,1000000,1000000,1000000.0,0.0,11989395,12228226,1.20619144E7,81992.26337429648,2426752,4010025,3303604.4,662377.9897555775
"basketball_both","EFS rp",0,,,,,1000000,1000000,1000000.0,0.0,3420077,4623766,3871138.4,486237.8488865711,721242,1291041,866766.4,170618.27230176725
"basketball_both","GFS h+",0,,,,,1000000,1000000,1000000.0,0.0,1443697,1682363,1560323.7,78274.64646109876,328512,627878,462559.6,108040.75597588162
"basketball_both","GFS hmax",0,,,,,1000000,1000000,1000000.0,0.0,10805070,10937691,1.08601285E7,43548.58332311167,2718920,4200965,3562581.0,666832.1915749118
"basketball_both","GFS rp",0,,,,,1000000,1000000,1000000.0,0.0,1542179,1687606,1623134.2,41867.04162894722,332384,397313,373157.4,17767.139663997692
"western","BFS",0,,,,,1000000,1000000,1000000.0,0.0,37996112,39351298,3.81501789E7,400721.513541125,9778190,15029134,1.27210264E7,2446181.359313295
"western","EFS",0,,,,,1000000,1000000,1000000.0,0.0,5766686,5785562,5774058.5,6797.260849047945,1459697,1557986,1526305.3,31428.75895752169
"western","GFS",0,,,,,1000000,1000000,1000000.0,0.0,2823864,3518469,3067487.1,250662.54410838886,398604,733094,452249.1,94893.03948704561
"western","A* h+",0,,,,,1000000,1000000,1000000.0,0.0,20350285,20626386,2.045047E7,68717.43072612655,10011687,16378127,1.36843408E7,2930777.631227446
"western","A* hmax",0,,,,,1000000,1000000,1000000.0,0.0,34747172,35316751,3.50287426E7,192518.1849344108,20437337,34895405,2.78278412E7,5530507.746000629
"western","A* rp",0,,,,,1000000,1000000,1000000.0,0.0,18896314,20192886,1.92472979E7,472974.21294240764,9923954,16469198,1.1605157E7,2373118.8663383466
"western","EFS h+",0,,,,,1000000,1000000,1000000.0,0.0,5876772,5893787,5890320.2,5338.162076969938,3795167,5912951,5018980.5,956667.6066293088
"western","EFS hmax",0,,,,,1000000,1000000,1000000.0,0.0,26124876,26410764,2.62401991E7,80836.71776791781,15595151,25145206,2.11072983E7,4210769.824543228
"western","EFS rp",1,8,8,8.0,0.0,723499,1000000,972349.9,82950.30000000002,4246950,5887308,5690138.7,482021.4559249515,2531793,4016290,3710417.0,403806.1424483288
"western","GFS h+",0,,,,,1000000,1000000,1000000.0,0.0,1895763,1906739,1900601.6,4265.222789022867,1125759,1899519,1392315.6,284052.88748548215
"western","GFS hmax",0,,,,,1000000,1000000,1000000.0,0.0,21077626,21558827,2.12661936E7,165903.23972255635,12211923,18862791,1.56590911E7,2792928.1675033267
"western","GFS rp",0,,,,,1000000,1000000,1000000.0,0.0,1885430,1924277,1903748.9,14208.655280849065,1055815,1259386,1166913.4,58705.70481511996
"fantasy_any","BFS",10,2,2,2.0,0.0,4,4,4.0,0.0,91,91,91.0,0.0,2,3,2.4,0.48989794855663565
"fantasy_any","EFS",10,2,2,2.0,0.0,182,182,182.0,0.0,1378,1378,1378.0,0.0,45,48,46.9,0.8306623862918076
"fantasy_any","GFS",10,2,2,2.0,0.0,41,41,41.0,0.0,589,589,589.0,0.0,18,20,18.8,0.6
"fantasy_any","A* h+",10,3,3,3.0,0.0,20,20,20.0,0.0,381,381,381.0,0.0,38,40,38.8,0.6
"fantasy_any","A* hmax",10,2,2,2.0,0.0,2,2,2.0,0.0,55,55,55.0,0.0,4,5,4.4,0.48989794855663565
"fantasy_any","A* rp",10,2,2,2.0,0.0,4,4,4.0,0.0,91,91,91.0,0.0,9,13,10.1,1.044030650891055
"fantasy_any","EFS h+",10,3,3,3.0,0.0,284,285,284.1,0.3,1965,1967,1966.8,0.6,168,174,171.3,1.5524174696260025
"fantasy_any","EFS hmax",10,2,2,2.0,0.0,20,20,20.0,0.0,291,291,291.0,0.0,24,26,25.0,0.4472135954999579
"fantasy_any","EFS rp",10,2,2,2.0,0.0,180,180,180.0,0.0,1361,1361,1361.0,0.0,120,126,121.9,1.57797338380595
"fantasy_any","GFS h+",10,3,3,3.0,0.0,7,7,7.0,0.0,115,115,115.0,0.0,11,13,12.1,0.5385164807134505
"fantasy_any","GFS hmax",10,2,2,2.0,0.0,3,3,3.0,0.0,43,43,43.0,0.0,4,5,4.8,0.39999999999999997
"fantasy_any","GFS rp",10,2,2,2.0,0.0,5,5,5.0,0.0,71,71,71.0,0.0,9,11,9.6,0.6633249580710799
"fantasy_two","BFS",10,5,5,5.0,0.0,7469,7469,7469.0,0.0,116113,116141,116115.8,8.399999999999999,6152,7581,6320.2,420.8702412858386
"fantasy_two","EFS",10,5,5,5.0,0.0,31169,31341,31186.2,51.6,227538,228046,227588.8,152.4,14314,18231,16558.3,1811.86876180368
"fantasy_two","GFS",10,5,5,5.0,0.0,73773,73851,73780.8,23.400000000000002,1054033,1054073,1054069.0,12.0,61610,62509,61900.3,298.7085703490946
"fantasy_two","A* h+",10,6,6,6.0,0.0,796,796,796.0,0.0,13019,13020,13019.9,0.3,1765,1879,1814.4,35.85303334447449
"fantasy_two","A* hmax",10,5,5,5.0,0.0,1059,1059,1059.0,0.0,16720,16720,16720.0,0.0,2270,2307,2286.5,11.723907198540937
"fantasy_two","A* rp",10,5,5,5.0,0.0,2463,2534,2505.0,24.68197723035981,37758,38620,38145.4,287.2797243106446,6056,6367,6161.5,106.72042915955689
"fantasy_two","EFS h+",10,6,6,6.0,0.0,4156,4156,4156.0,0.0,29744,29749,29748.5,1.5,3838,3974,3916.7,36.73976047826115
"fantasy_two","EFS hmax",10,5,5,5.0,0.0,1970,1970,1970.0,0.0,28230,28230,28230.0,0.0,3760,3815,3785.3,17.204941150727603
"fantasy_two","EFS rp",10,5,5,5.0,0.0,14184,14439,14341.2,58.95388027941842,94185,95575,95083.2,328.07249198919436,13462,13791,13669.2,85.99162749942576
"fantasy_two","GFS h+",10,6,6,6.0,0.0,1313,1313,1313.0,0.0,18745,18745,18745.0,0.0,2749,2843,2783.8,27.909854890342945
"fantasy_two","GFS hmax",10,5,5,5.0,0.0,892,892,892.0,0.0,13030,13030,13030.0,0.0,1807,1880,1822.7,20.327567488511754
"fantasy_two","GFS rp",10,5,5,5.0,0.0,2132,2143,2139.2,2.8565713714171395,29174,29324,29268.1,38.10629869194856,4736,5045,4923.2,99.19455630224877
"fantasy_all","BFS",0,,,,,1000000,1000000,1000000.0,0.0,15014636,15014999,1.50147155E7,99.83511406313913,1736827,2525662,1898963.5,312795.27073926484
"fantasy_all","EFS",0,,,,,1000000,1000000,1000000.0,0.0,9285312,9299892,9287309.4,4270.582447395203,1088142,1647547,1230548.6,202671.5221101376
"fantasy_all","GFS",0,,,,,1000000,1000000,1000000.0,0.0,14240673,14245938,1.42442625E7,1471.4133511695482,974178,1496868,1186776.0,250625.9635999431
"fantasy_all","A* h+",0,,,,,1000000,1000000,1000000.0,0.0,15093758,15094232,1.50938957E7,168.94262339622878,4231815,6773340,5743473.3,1199325.918158367
"fantasy_all","A* hmax",0,,,,,1000000,1000000,1000000.0,0.0,15504195,15504283,1.55042742E7,26.399999999999995,2908020,4415889,3524680.0,713578.1503447257
"fantasy_all","A* rp",0,,,,,1000000,1000000,1000000.0,0.0,15309696,15356048,1.53354399E7,18731.681395165786,3858260,5964434,5041864.4,941506.7063449097
"fantasy_all","EFS h+",0,,,,,1000000,1000000,1000000.0,0.0,9927010,9927863,9927589.7,379.59769493504564,3311237,5121675,4032964.2,828361.2635881521
"fantasy_all","EFS hmax",10,9,9,9.0,0.0,690346,690356,690349.1,3.8845849199110063,10035292,10035400,1.00353139E7,33.12838661933298,2146065,3294103,2601866.5,541173.9029161051
"fantasy_all","EFS rp",0,,,,,1000000,1000000,1000000.0,0.0,9457790,9744741,9493991.8,83791.39490520491,2500614,3661197,3083826.4,431685.03642521595
"fantasy_all","GFS h+",0,,,,,1000000,1000000,1000000.0,0.0,14508306,14509018,1.45088434E7,195.00984590527733,2851990,4307402,3727268.8,655333.059420292
"fantasy_all","GFS hmax",0,,,,,1000000,1000000,1000000.0,0.0,14965783,14965796,1.49657861E7,3.5623026261113755,2675916,4022950,3233170.2,631912.0777030298
"fantasy_all","GFS rp",0,,,,,1000000,1000000,1000000.0,0.0,14490127,14533383,1.45133643E7,17359.566602020914,2750709,4108409,3408044.9,631587.672340341
"space_any","BFS",10,2,2,2.0,0.0,4,4,4.0,0.0,34,34,34.0,0.0,0,1,0.4,0.48989794855663565
"space_any","EFS",10,2,2,2.0,0.0,13,14,13.3,0.45825756949558405,79,79,79.0,0.0,1,2,1.3,0.45825756949558405
"space_any","GFS",10,2,2,2.0,0.0,4,4,4.0,0.0,25,25,25.0,0.0,0,1,0.5,0.5
"space_any","A* h+",10,2,2,2.0,0.0,2,2,2.0,0.0,16,16,16.0,0.0,0,1,0.9,0.3
"space_any","A* hmax",10,2,2,2.0,0.0,2,2,2.0,0.0,16,16,16.0,0.0,0,1,0.9,0.30000000000000004
"space_any","A* rp",10,2,3,2.3,0.45825756949558405,13,26,21.5,5.6258332716140815,82,329,245.9,108.01430460823234,4,14,10.6,4.34050688284214
